codigo,fecha_hora,velocidad_prom,velocidad_max,direccion_prom,direccion_max,calidad
82,2024-01-29 14:29:00,2.3,5.4,71.0,58.0,1
82,2024-01-29 14:30:00,4.5,5.4,56.0,64.0,1
82,2024-01-29 14:31:00,2.0,4.0,65.0,42.0,1
82,2024-01-29 14:32:00,2.8,5.7,85.0,96.0,1
82,2024-01-29 14:33:00,3.8,6.2,82.0,94.0,1
82,2024-01-29 14:34:00,1.6,2.7,76.0,52.0,1
82,2024-01-29 14:35:00,2.5,4.2,117.0,128.0,1
82,2024-01-29 14:36:00,2.8,4.9,97.0,111.0,1
82,2024-01-29 14:37:00,3.3,5.9,71.0,33.0,1
82,2024-01-29 14:38:00,3.7,6.0,71.0,24.0,1
82,2024-01-29 14:39:00,3.5,6.0,87.0,97.0,1
82,2024-01-29 14:40:00,4.0,6.9,68.0,87.0,1
82,2024-01-29 14:41:00,5.3,7.2,87.0,66.0,1
82,2024-01-29 14:42:00,5.3,6.8,95.0,99.0,1
82,2024-01-29 14:43:00,4.5,6.2,76.0,64.0,1
82,2024-01-29 14:44:00,2.6,5.5,62.0,48.0,1
82,2024-01-29 14:45:00,3.5,5.3,72.0,57.0,1
82,2024-01-29 14:46:00,3.9,6.5,76.0,66.0,1
82,2024-01-29 14:47:00,2.8,5.2,45.0,68.0,1
82,2024-01-29 14:48:00,1.8,3.6,55.0,25.0,1
82,2024-01-29 14:49:00,2.5,4.5,5.0,28.0,1
82,2024-01-29 14:50:00,0.5,2.0,62.0,130.0,1
82,2024-01-29 14:51:00,2.9,4.8,66.0,78.0,1
82,2024-01-29 14:52:00,1.9,3.2,87.0,66.0,1
82,2024-01-29 14:53:00,3.0,5.1,78.0,82.0,1
82,2024-01-29 14:54:00,4.5,7.3,79.0,68.0,1
82,2024-01-29 14:55:00,6.2,8.4,88.0,90.0,1
82,2024-01-29 14:56:00,4.8,7.0,83.0,87.0,1
82,2024-01-29 14:57:00,1.9,3.9,57.0,63.0,1
82,2024-01-29 14:58:00,3.7,5.2,89.0,86.0,1
82,2024-01-29 14:59:00,2.6,4.6,76.0,86.0,1
82,2024-01-29 15:00:00,3.0,4.8,46.0,53.0,1
82,2024-01-29 15:01:00,3.0,4.7,78.0,82.0,1
82,2024-01-29 15:02:00,4.1,5.8,94.0,83.0,1
82,2024-01-29 15:03:00,4.8,6.8,84.0,71.0,1
82,2024-01-29 15:04:00,3.5,5.8,68.0,82.0,1
82,2024-01-29 15:05:00,2.7,4.2,87.0,100.0,1
82,2024-01-29 15:06:00,2.8,5.2,70.0,53.0,1
82,2024-01-29 15:07:00,1.5,3.5,79.0,92.0,1
82,2024-01-29 15:08:00,2.9,5.2,71.0,79.0,1
82,2024-01-29 15:09:00,2.7,4.1,93.0,84.0,1
82,2024-01-29 15:10:00,3.8,5.3,81.0,91.0,1
82,2024-01-29 15:11:00,5.1,7.6,91.0,95.0,1
82,2024-01-29 15:12:00,4.4,5.6,71.0,58.0,1
82,2024-01-29 15:13:00,4.1,6.0,91.0,97.0,1
82,2024-01-29 15:14:00,2.0,3.4,100.0,66.0,1
82,2024-01-29 15:15:00,1.4,3.2,96.0,98.0,1
82,2024-01-29 15:16:00,2.7,6.2,95.0,86.0,1
82,2024-01-29 15:17:00,3.5,6.4,83.0,90.0,1
82,2024-01-29 15:18:00,3.3,5.0,84.0,86.0,1
82,2024-01-29 15:19:00,3.7,6.2,47.0,47.0,1
82,2024-01-29 15:20:00,2.7,5.7,30.0,21.0,1
82,2024-01-29 15:21:00,3.1,5.2,62.0,72.0,1
82,2024-01-29 15:22:00,2.7,4.2,61.0,91.0,1
82,2024-01-29 15:23:00,2.8,3.9,75.0,87.0,1
82,2024-01-29 15:24:00,2.2,4.2,73.0,75.0,1
82,2024-01-29 15:25:00,2.2,4.0,75.0,66.0,1
82,2024-01-29 15:26:00,2.9,5.2,53.0,62.0,1
82,2024-01-29 15:27:00,4.2,6.8,68.0,72.0,1
82,2024-01-29 15:28:00,4.2,5.8,54.0,83.0,1
82,2024-01-29 15:29:00,3.6,5.5,70.0,64.0,1
82,2024-01-29 15:30:00,3.9,6.4,70.0,74.0,1
82,2024-01-29 15:31:00,5.4,7.2,84.0,80.0,1
82,2024-01-29 15:32:00,2.7,3.7,96.0,93.0,1
82,2024-01-29 15:33:00,2.9,3.9,94.0,108.0,1
82,2024-01-29 15:34:00,4.3,5.7,75.0,91.0,1
82,2024-01-29 15:35:00,3.7,5.3,62.0,68.0,1
82,2024-01-29 15:36:00,2.8,5.0,87.0,89.0,1
82,2024-01-29 15:37:00,2.9,5.1,77.0,87.0,1
82,2024-01-29 15:38:00,4.3,5.7,59.0,73.0,1
82,2024-01-29 15:39:00,2.7,4.3,80.0,94.0,1
82,2024-01-29 15:40:00,3.1,5.6,89.0,94.0,1
82,2024-01-29 15:41:00,4.4,6.3,85.0,85.0,1
82,2024-01-29 15:42:00,4.1,5.4,72.0,93.0,1
82,2024-01-29 15:43:00,2.4,4.6,50.0,47.0,1
82,2024-01-29 15:44:00,3.1,5.3,54.0,68.0,1
82,2024-01-29 15:45:00,3.9,6.5,72.0,95.0,1
82,2024-01-29 15:46:00,4.5,6.1,69.0,70.0,1
82,2024-01-29 15:47:00,4.5,6.2,90.0,100.0,1
82,2024-01-29 15:48:00,3.1,5.5,101.0,96.0,1
82,2024-01-29 15:49:00,3.1,4.8,87.0,82.0,1
82,2024-01-29 15:50:00,3.2,4.9,73.0,65.0,1
82,2024-01-29 15:51:00,3.6,5.2,70.0,95.0,1
82,2024-01-29 15:52:00,5.3,7.6,92.0,66.0,1
82,2024-01-29 15:53:00,4.2,6.1,118.0,120.0,1
82,2024-01-29 15:54:00,2.8,5.1,77.0,84.0,1
82,2024-01-29 15:55:00,3.2,5.0,80.0,100.0,1
82,2024-01-29 15:56:00,3.7,7.1,71.0,70.0,1
82,2024-01-29 15:57:00,3.2,5.2,66.0,75.0,1
82,2024-01-29 15:58:00,2.5,4.7,59.0,54.0,1
82,2024-01-29 15:59:00,3.2,4.0,92.0,85.0,1
82,2024-01-29 16:00:00,2.3,3.6,70.0,56.0,1
82,2024-01-29 16:01:00,3.3,4.8,72.0,71.0,1
82,2024-01-29 16:02:00,2.2,4.3,90.0,102.0,1
82,2024-01-29 16:03:00,4.2,6.4,79.0,71.0,1
82,2024-01-29 16:04:00,4.5,6.7,88.0,100.0,1
82,2024-01-29 16:05:00,3.9,5.6,87.0,94.0,1
82,2024-01-29 16:06:00,4.5,5.4,50.0,43.0,1
82,2024-01-29 16:07:00,4.2,6.4,68.0,76.0,1
82,2024-01-29 16:08:00,2.1,3.2,101.0,103.0,1
82,2024-01-29 16:09:00,1.2,2.3,50.0,37.0,1
82,2024-01-29 16:10:00,1.4,2.6,106.0,129.0,1
82,2024-01-29 16:11:00,2.5,4.4,99.0,72.0,1
82,2024-01-29 16:12:00,5.0,7.8,84.0,74.0,1
82,2024-01-29 16:13:00,4.2,6.9,91.0,82.0,1
82,2024-01-29 16:14:00,3.4,6.3,80.0,68.0,1
82,2024-01-29 16:15:00,4.5,6.5,112.0,119.0,1
82,2024-01-29 16:16:00,5.6,7.5,89.0,96.0,1
82,2024-01-29 16:17:00,5.4,7.7,95.0,94.0,1
82,2024-01-29 16:18:00,5.9,7.5,93.0,86.0,1
82,2024-01-29 16:19:00,4.8,6.4,107.0,111.0,1
82,2024-01-29 16:20:00,4.8,6.7,96.0,91.0,1
82,2024-01-29 16:21:00,5.0,6.4,101.0,83.0,1
82,2024-01-29 16:22:00,4.2,6.3,103.0,91.0,1
82,2024-01-29 16:23:00,4.8,6.2,84.0,82.0,1
82,2024-01-29 16:24:00,4.3,6.0,95.0,121.0,1
82,2024-01-29 16:25:00,2.7,4.4,95.0,102.0,1
82,2024-01-29 16:26:00,3.7,5.2,74.0,94.0,1
82,2024-01-29 16:27:00,3.0,5.2,99.0,118.0,1
82,2024-01-29 16:28:00,3.5,5.0,107.0,109.0,1
82,2024-01-29 16:29:00,3.8,5.2,100.0,103.0,1
82,2024-01-29 16:30:00,4.4,5.7,93.0,75.0,1
82,2024-01-29 16:31:00,3.0,5.0,109.0,111.0,1
82,2024-01-29 16:32:00,2.8,5.5,119.0,130.0,1
82,2024-01-29 16:33:00,1.7,3.3,110.0,98.0,1
82,2024-01-29 16:34:00,3.6,5.6,116.0,125.0,1
82,2024-01-29 16:35:00,3.3,4.6,98.0,119.0,1
82,2024-01-29 16:36:00,3.5,6.0,106.0,99.0,1
82,2024-01-29 16:37:00,3.7,5.2,100.0,95.0,1
82,2024-01-29 16:38:00,3.4,5.7,106.0,115.0,1
82,2024-01-29 16:39:00,2.0,3.7,102.0,110.0,1
82,2024-01-29 16:40:00,2.6,4.7,100.0,128.0,1
82,2024-01-29 16:41:00,3.3,5.3,86.0,75.0,1
82,2024-01-29 16:42:00,3.0,3.8,65.0,72.0,1
82,2024-01-29 16:43:00,3.4,5.2,84.0,79.0,1
82,2024-01-29 16:44:00,3.1,5.5,95.0,90.0,1
82,2024-01-29 16:45:00,2.8,4.4,60.0,59.0,1
82,2024-01-29 16:46:00,1.9,3.4,83.0,40.0,1
82,2024-01-29 16:47:00,3.2,7.0,85.0,95.0,1
82,2024-01-29 16:48:00,3.6,5.5,91.0,86.0,1
82,2024-01-29 16:49:00,3.2,4.7,89.0,90.0,1
82,2024-01-29 16:50:00,3.8,6.0,76.0,29.0,1
82,2024-01-29 16:51:00,3.2,4.7,91.0,66.0,1
82,2024-01-29 16:52:00,3.0,5.5,99.0,115.0,1
82,2024-01-29 16:53:00,2.1,4.0,82.0,93.0,1
82,2024-01-29 16:54:00,3.4,5.0,63.0,73.0,1
82,2024-01-29 16:55:00,2.7,5.3,81.0,97.0,1
82,2024-01-29 16:56:00,3.2,5.1,87.0,90.0,1
82,2024-01-29 16:57:00,3.8,5.8,104.0,100.0,1
82,2024-01-29 16:58:00,3.8,5.2,92.0,91.0,1
82,2024-01-29 16:59:00,3.1,4.3,83.0,76.0,1
82,2024-01-29 17:00:00,3.4,6.6,79.0,42.0,1
82,2024-01-29 17:01:00,5.0,7.4,72.0,72.0,1
82,2024-01-29 17:02:00,4.5,6.0,79.0,99.0,1
82,2024-01-29 17:03:00,3.0,5.4,94.0,119.0,1
82,2024-01-29 17:04:00,1.9,4.2,96.0,99.0,1
82,2024-01-29 17:05:00,4.7,6.2,83.0,53.0,1
82,2024-01-29 17:06:00,4.1,6.6,73.0,58.0,1
82,2024-01-29 17:07:00,4.0,6.1,83.0,81.0,1
82,2024-01-29 17:08:00,3.1,4.8,70.0,93.0,1
82,2024-01-29 17:09:00,1.2,2.7,92.0,101.0,1
82,2024-01-29 17:10:00,3.0,5.8,52.0,40.0,1
82,2024-01-29 17:11:00,3.8,5.1,90.0,83.0,1
82,2024-01-29 17:12:00,3.3,5.5,79.0,52.0,1
82,2024-01-29 17:13:00,1.5,2.4,64.0,95.0,1
82,2024-01-29 17:14:00,2.3,4.0,89.0,78.0,1
82,2024-01-29 17:15:00,2.7,4.6,48.0,59.0,1
82,2024-01-29 17:16:00,1.8,3.1,73.0,47.0,1
82,2024-01-29 17:17:00,1.3,2.3,107.0,132.0,1
82,2024-01-29 17:18:00,1.0,2.0,114.0,130.0,1
82,2024-01-29 17:19:00,2.6,4.2,104.0,122.0,1
82,2024-01-29 17:20:00,3.8,5.7,104.0,97.0,1
82,2024-01-29 17:21:00,3.6,5.2,104.0,100.0,1
82,2024-01-29 17:22:00,2.5,3.9,101.0,93.0,1
82,2024-01-29 17:23:00,3.2,3.9,113.0,117.0,1
82,2024-01-29 17:24:00,3.2,4.5,96.0,111.0,1
82,2024-01-29 17:25:00,2.4,3.7,122.0,119.0,1
82,2024-01-29 17:26:00,2.4,3.2,75.0,68.0,1
82,2024-01-29 17:27:00,3.7,5.4,118.0,130.0,1
82,2024-01-29 17:28:00,2.6,4.2,117.0,97.0,1
82,2024-01-29 17:29:00,2.4,3.9,106.0,94.0,1
82,2024-01-29 17:30:00,1.7,2.6,120.0,118.0,1
82,2024-01-29 17:31:00,2.8,4.6,116.0,120.0,1
82,2024-01-29 17:32:00,3.1,4.6,106.0,87.0,1
82,2024-01-29 17:33:00,2.9,3.7,114.0,126.0,1
82,2024-01-29 17:34:00,3.0,4.7,125.0,102.0,1
82,2024-01-29 17:35:00,4.8,6.1,82.0,71.0,1
82,2024-01-29 17:36:00,4.4,6.0,94.0,97.0,1
82,2024-01-29 17:37:00,3.8,5.0,101.0,104.0,1
82,2024-01-29 17:38:00,2.2,3.6,114.0,107.0,1
82,2024-01-29 17:39:00,1.9,3.4,136.0,108.0,1
82,2024-01-29 17:40:00,2.9,4.1,102.0,93.0,1
82,2024-01-29 17:41:00,2.3,3.7,81.0,70.0,1
82,2024-01-29 17:42:00,1.7,3.4,125.0,128.0,1
82,2024-01-29 17:43:00,2.5,4.3,98.0,104.0,1
82,2024-01-29 17:44:00,2.7,4.8,92.0,78.0,1
82,2024-01-29 17:45:00,3.7,5.1,83.0,85.0,1
82,2024-01-29 17:46:00,3.4,4.5,100.0,111.0,1
82,2024-01-29 17:47:00,2.9,4.9,124.0,133.0,1
82,2024-01-29 17:48:00,2.3,4.6,121.0,104.0,1
82,2024-01-29 17:49:00,4.5,6.5,82.0,90.0,1
82,2024-01-29 17:50:00,3.2,5.2,112.0,122.0,1
82,2024-01-29 17:51:00,5.0,7.9,90.0,105.0,1
82,2024-01-29 17:52:00,4.9,7.8,123.0,122.0,1
82,2024-01-29 17:53:00,3.9,5.8,95.0,79.0,1
82,2024-01-29 17:54:00,4.9,6.6,114.0,101.0,1
82,2024-01-29 17:55:00,5.2,7.5,101.0,87.0,1
82,2024-01-29 17:56:00,4.4,5.8,97.0,102.0,1
82,2024-01-29 17:57:00,6.0,8.1,108.0,101.0,1
82,2024-01-29 17:58:00,4.6,7.0,87.0,106.0,1
82,2024-01-29 17:59:00,3.8,5.8,90.0,86.0,1
82,2024-01-29 18:00:00,5.0,7.0,105.0,124.0,1
82,2024-01-29 18:01:00,4.4,7.8,96.0,87.0,1
82,2024-01-29 18:02:00,4.5,6.6,102.0,93.0,1
82,2024-01-29 18:03:00,3.7,5.7,106.0,89.0,1
82,2024-01-29 18:04:00,4.2,7.4,97.0,99.0,1
82,2024-01-29 18:05:00,5.4,6.9,111.0,104.0,1
82,2024-01-29 18:06:00,3.7,6.3,111.0,89.0,1
82,2024-01-29 18:07:00,4.9,8.4,88.0,84.0,1
82,2024-01-29 18:08:00,6.3,8.3,76.0,86.0,1
82,2024-01-29 18:09:00,4.3,6.8,86.0,66.0,1
82,2024-01-29 18:10:00,4.5,7.2,119.0,129.0,1
82,2024-01-29 18:11:00,4.5,9.4,105.0,95.0,1
82,2024-01-29 18:12:00,4.8,7.0,79.0,86.0,1
82,2024-01-29 18:13:00,4.5,6.4,103.0,111.0,1
82,2024-01-29 18:14:00,4.3,6.7,102.0,118.0,1
82,2024-01-29 18:15:00,4.3,6.8,107.0,87.0,1
82,2024-01-29 18:16:00,4.1,7.6,90.0,79.0,1
82,2024-01-29 18:17:00,4.6,6.8,95.0,89.0,1
82,2024-01-29 18:18:00,4.4,6.5,83.0,83.0,1
82,2024-01-29 18:19:00,4.2,6.0,98.0,129.0,1
82,2024-01-29 18:20:00,4.4,6.7,98.0,128.0,1
82,2024-01-29 18:21:00,3.9,6.6,110.0,114.0,1
82,2024-01-29 18:22:00,4.3,5.9,93.0,93.0,1
82,2024-01-29 18:23:00,4.3,6.1,93.0,86.0,1
82,2024-01-29 18:24:00,3.4,5.5,84.0,100.0,1
82,2024-01-29 18:25:00,5.1,7.2,91.0,97.0,1
82,2024-01-29 18:26:00,4.3,7.5,90.0,86.0,1
82,2024-01-29 18:27:00,3.1,4.9,80.0,91.0,1
82,2024-01-29 18:28:00,4.2,7.3,88.0,86.0,1
82,2024-01-29 18:29:00,3.9,6.7,99.0,113.0,1
82,2024-01-29 18:30:00,5.3,6.4,71.0,87.0,1
82,2024-01-29 18:31:00,3.2,5.7,79.0,66.0,1
82,2024-01-29 18:32:00,4.2,5.8,73.0,66.0,1
82,2024-01-29 18:33:00,1.4,2.7,82.0,44.0,1
82,2024-01-29 18:34:00,2.7,4.8,52.0,47.0,1
82,2024-01-29 18:35:00,2.6,4.6,61.0,42.0,1
82,2024-01-29 18:36:00,1.4,2.3,120.0,132.0,1
82,2024-01-29 18:37:00,3.0,6.5,85.0,89.0,1
82,2024-01-29 18:38:00,4.3,5.8,90.0,85.0,1
82,2024-01-29 18:39:00,3.1,4.3,102.0,81.0,1
82,2024-01-29 18:40:00,2.6,4.1,80.0,65.0,1
82,2024-01-29 18:41:00,2.2,3.3,103.0,104.0,1
82,2024-01-29 18:42:00,2.2,3.2,96.0,108.0,1
82,2024-01-29 18:43:00,1.6,3.3,35.0,36.0,1
82,2024-01-29 18:44:00,2.3,3.6,95.0,81.0,1
82,2024-01-29 18:45:00,2.9,3.8,90.0,91.0,1
82,2024-01-29 18:46:00,3.2,4.5,86.0,99.0,1
82,2024-01-29 18:47:00,4.5,6.6,96.0,95.0,1
82,2024-01-29 18:48:00,4.1,5.5,89.0,102.0,1
82,2024-01-29 18:49:00,4.4,5.2,107.0,107.0,1
82,2024-01-29 18:50:00,3.9,5.3,101.0,102.0,1
82,2024-01-29 18:51:00,3.8,5.2,92.0,95.0,1
82,2024-01-29 18:52:00,3.6,5.0,76.0,74.0,1
82,2024-01-29 18:53:00,0.6,3.5,72.0,55.0,1
82,2024-01-29 18:54:00,2.0,3.7,94.0,92.0,1
82,2024-01-29 18:55:00,1.4,2.6,120.0,129.0,1
82,2024-01-29 18:56:00,1.5,3.0,143.0,130.0,1
82,2024-01-29 18:57:00,1.4,2.6,119.0,137.0,1
82,2024-01-29 18:58:00,2.5,3.7,95.0,83.0,1
82,2024-01-29 18:59:00,2.1,3.7,94.0,90.0,1
82,2024-01-29 19:00:00,1.7,2.6,122.0,127.0,1
82,2024-01-29 19:01:00,3.1,5.1,96.0,86.0,1
82,2024-01-29 19:02:00,3.5,4.9,93.0,61.0,1
82,2024-01-29 19:03:00,3.1,4.3,73.0,104.0,1
82,2024-01-29 19:04:00,4.1,5.7,84.0,75.0,1
82,2024-01-29 19:05:00,3.8,5.5,73.0,43.0,1
82,2024-01-29 19:06:00,3.3,5.5,103.0,118.0,1
82,2024-01-29 19:07:00,3.1,4.7,100.0,84.0,1
82,2024-01-29 19:08:00,3.9,5.5,92.0,103.0,1
82,2024-01-29 19:09:00,2.9,3.7,80.0,87.0,1
82,2024-01-29 19:10:00,0.9,2.5,90.0,70.0,1
82,2024-01-29 19:11:00,2.2,3.6,133.0,120.0,1
82,2024-01-29 19:12:00,3.2,4.4,83.0,97.0,1
82,2024-01-29 19:13:00,2.0,3.8,95.0,118.0,1
82,2024-01-29 19:14:00,2.4,4.3,91.0,126.0,1
82,2024-01-29 19:15:00,1.7,2.7,74.0,79.0,1
82,2024-01-29 19:16:00,2.3,3.8,98.0,79.0,1
82,2024-01-29 19:17:00,2.4,3.5,79.0,84.0,1
82,2024-01-29 19:18:00,2.9,4.1,89.0,102.0,1
82,2024-01-29 19:19:00,3.7,5.6,72.0,72.0,1
82,2024-01-29 19:20:00,2.6,4.7,97.0,111.0,1
82,2024-01-29 19:21:00,3.6,5.4,96.0,100.0,1
82,2024-01-29 19:22:00,2.7,5.7,76.0,89.0,1
82,2024-01-29 19:23:00,4.6,6.2,75.0,73.0,1
82,2024-01-29 19:24:00,3.1,4.1,87.0,93.0,1
82,2024-01-29 19:25:00,2.1,4.1,105.0,91.0,1
82,2024-01-29 19:26:00,3.5,5.6,101.0,93.0,1
82,2024-01-29 19:27:00,3.6,5.1,97.0,90.0,1
82,2024-01-29 19:28:00,2.8,3.8,94.0,99.0,1
82,2024-01-29 19:29:00,4.3,6.6,81.0,72.0,1
82,2024-01-29 19:30:00,5.0,6.3,80.0,79.0,1
82,2024-01-29 19:31:00,3.6,5.7,87.0,97.0,1
82,2024-01-29 19:32:00,3.5,4.9,77.0,89.0,1
82,2024-01-29 19:33:00,4.4,7.1,120.0,97.0,1
82,2024-01-29 19:34:00,2.8,4.7,107.0,94.0,1
82,2024-01-29 19:35:00,3.0,4.4,106.0,104.0,1
82,2024-01-29 19:36:00,4.6,6.0,94.0,91.0,1
82,2024-01-29 19:37:00,3.0,4.5,94.0,82.0,1
82,2024-01-29 19:38:00,3.1,5.2,90.0,87.0,1
82,2024-01-29 19:39:00,2.9,5.2,97.0,107.0,1
82,2024-01-29 19:40:00,2.8,4.1,90.0,66.0,1
82,2024-01-29 19:41:00,3.0,4.3,117.0,108.0,1
82,2024-01-29 19:42:00,4.5,7.3,92.0,74.0,1
82,2024-01-29 19:43:00,4.3,5.8,82.0,98.0,1
82,2024-01-29 19:44:00,4.2,6.2,87.0,82.0,1
82,2024-01-29 19:45:00,3.8,5.0,105.0,115.0,1
82,2024-01-29 19:46:00,3.0,6.7,118.0,104.0,1
82,2024-01-29 19:47:00,5.1,6.6,107.0,104.0,1
82,2024-01-29 19:48:00,3.4,4.8,111.0,109.0,1
82,2024-01-29 19:49:00,3.2,5.0,94.0,87.0,1
82,2024-01-29 19:50:00,1.8,3.8,78.0,75.0,1
82,2024-01-29 19:51:00,1.2,2.7,130.0,120.0,1
82,2024-01-29 19:52:00,1.3,3.0,98.0,97.0,1
82,2024-01-29 19:53:00,3.1,4.5,120.0,124.0,1
82,2024-01-29 19:54:00,3.0,4.0,102.0,107.0,1
82,2024-01-29 19:55:00,3.7,6.2,104.0,91.0,1
82,2024-01-29 19:56:00,3.6,5.8,100.0,94.0,1
82,2024-01-29 19:57:00,3.9,4.8,106.0,78.0,1
82,2024-01-29 19:58:00,3.2,5.2,85.0,85.0,1
82,2024-01-29 19:59:00,2.4,4.6,96.0,95.0,1
82,2024-01-29 20:00:00,3.2,4.3,98.0,97.0,1
82,2024-01-29 20:01:00,3.5,5.1,94.0,96.0,1
82,2024-01-29 20:02:00,3.7,6.1,86.0,90.0,1
82,2024-01-29 20:03:00,3.2,4.3,60.0,71.0,1
82,2024-01-29 20:04:00,2.8,4.4,73.0,81.0,1
82,2024-01-29 20:05:00,2.1,3.5,77.0,79.0,1
82,2024-01-29 20:06:00,2.5,3.6,111.0,125.0,1
82,2024-01-29 20:07:00,3.1,3.7,120.0,121.0,1
82,2024-01-29 20:08:00,2.1,3.2,113.0,115.0,1
82,2024-01-29 20:09:00,1.9,3.1,113.0,104.0,1
82,2024-01-29 20:10:00,2.3,2.9,99.0,96.0,1
82,2024-01-29 20:11:00,2.0,2.7,95.0,97.0,1
82,2024-01-29 20:12:00,1.5,2.6,112.0,104.0,1
82,2024-01-29 20:13:00,0.9,2.1,120.0,133.0,1
82,2024-01-29 20:14:00,0.8,1.4,111.0,139.0,1
82,2024-01-29 20:15:00,1.0,1.9,104.0,96.0,1
82,2024-01-29 20:16:00,1.7,2.8,104.0,102.0,1
82,2024-01-29 20:17:00,2.8,3.8,122.0,133.0,1
82,2024-01-29 20:18:00,2.3,3.6,113.0,130.0,1
82,2024-01-29 20:19:00,2.7,3.4,89.0,93.0,1
82,2024-01-29 20:20:00,1.1,2.7,103.0,104.0,1
82,2024-01-29 20:21:00,0.7,1.3,82.0,79.0,1
82,2024-01-29 20:22:00,1.0,1.6,110.0,125.0,1
82,2024-01-29 20:23:00,1.9,2.8,108.0,117.0,1
82,2024-01-29 20:24:00,2.0,2.8,102.0,127.0,1
82,2024-01-29 20:25:00,2.4,4.3,105.0,104.0,1
82,2024-01-29 20:26:00,3.6,4.6,102.0,96.0,1
82,2024-01-29 20:27:00,2.5,3.4,112.0,93.0,1
82,2024-01-29 20:28:00,2.0,3.2,117.0,113.0,1
82,2024-01-29 20:29:00,2.8,4.7,90.0,70.0,1
82,2024-01-29 20:30:00,3.1,4.5,122.0,76.0,1
82,2024-01-29 20:31:00,3.1,4.4,116.0,122.0,1
82,2024-01-29 20:32:00,2.7,3.9,93.0,79.0,1
82,2024-01-29 20:33:00,2.0,3.2,61.0,54.0,1
82,2024-01-29 20:34:00,3.1,3.8,79.0,94.0,1
82,2024-01-29 20:35:00,2.5,3.2,87.0,96.0,153
82,2024-01-29 20:36:00,2.6,3.4,90.0,100.0,153
82,2024-01-29 20:37:00,2.9,4.1,106.0,105.0,153
