,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2018-04-02 07:00:00,12,42.0,1.0,68.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,25.9025,1.0,84.2437,1.0,639.721,3.1,0.0,1.0,22.3375,1.0,18.4165,1.0,0.743941,1.0
2018-04-02 08:00:00,12,41.0,1.0,71.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,26.7974,1.0,79.4575,1.0,640.248,3.1,0.0,1.0,103.84,1.0,19.1999,1.0,0.703553,1.0
2018-04-02 09:00:00,12,44.0,1.0,56.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,28.0541,1.0,73.2591,1.0,640.578,3.1,0.0,1.0,282.161,1.0,20.1395,1.0,1.03418,1.0
2018-04-02 10:00:00,12,33.0,1.0,58.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,22.2398,1.0,64.7701,1.0,640.708,3.1,0.0,1.0,275.174,1.0,21.3015,1.0,1.13632,1.0
2018-04-02 11:00:00,12,31.0,1.0,54.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,22.1707,1.0,61.5943,1.0,640.582,3.1,0.0,1.0,323.48,1.0,21.9324,1.0,1.27166,1.0
2018-04-02 12:00:00,12,32.0,1.0,63.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,13.9984,1.0,54.9467,1.0,640.054,3.1,0.0,1.0,445.165,1.0,23.1886,1.0,1.07144,1.0
2018-04-02 13:00:00,12,42.0,1.0,50.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,21.4829,1.0,49.8107,1.0,639.235,3.1,0.0,1.0,400.597,1.0,24.2225,1.0,0.324534,1.0
2018-04-02 14:00:00,12,44.0,1.0,55.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,186.32,1.0,47.6806,1.0,638.495,3.1,0.0,1.0,258.954,1.0,24.5037,1.0,0.724842,1.0
2018-04-02 15:00:00,12,33.0,1.0,50.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,187.226,1.0,45.3083,1.0,637.865,3.1,0.0,1.0,235.798,1.0,24.838,1.0,0.59847,1.0
2018-04-02 16:00:00,12,29.0,1.0,41.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,350.682,1.0,60.5192,1.0,638.133,3.1,0.0,1.0,6.32889,1.0,22.2616,1.0,0.111834,1.0
2018-04-02 17:00:00,12,24.0,1.0,34.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,20.6965,1.0,83.578,1.0,638.762,3.1,0.0,1.0,14.4097,1.0,18.0096,1.0,1.41183,1.0
2018-04-02 18:00:00,12,14.0,1.0,35.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,26.2637,1.0,84.214,1.0,639.161,3.1,0.0,1.0,3.58194,1.0,17.6923,1.0,1.06987,1.0
2018-04-02 19:00:00,12,20.0,1.0,34.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,23.478,1.0,86.7768,1.0,639.87,3.1,0.0,1.0,0.0,1.0,17.4516,1.0,0.579543,1.0
2018-04-02 20:00:00,12,19.0,1.0,21.0,2.1,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,54.3829,1.0,88.3959,1.0,640.3,3.1,0.0,1.0,0.0,1.0,17.1786,1.0,0.0532583,1.0
2018-04-02 21:00:00,12,26.0,1.0,26.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,270.056,1.0,87.6647,1.0,640.538,3.1,0.0,1.0,0.0,1.0,17.4722,1.0,0.123409,1.0
2018-04-02 22:00:00,12,21.0,1.0,31.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,248.139,1.0,86.7735,1.0,640.856,3.1,0.0,1.0,0.0,1.0,17.7221,1.0,0.221203,1.0
2018-04-02 23:00:00,12,29.0,1.0,30.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,-9999.0,1.0,12.2102,1.0,87.3314,1.0,641.063,3.1,0.0,1.0,0.0,1.0,17.7572,1.0,0.290613,1.0
